gateid,treatment,site,completed_w2,age,white,black,asian,grade,children,hhincome,healthproblem,self_employed,worked_for_relatives_friends_se,salaried_worker,benefits,philadelphia,pittsburgh,minneapolis,duluth,maine,nonenglish,married,hhincome_p25,hhincome_p25_49,hhincome_p75_99,hhincome_p100,employer_healthins,unemployed,female,not_born_us,badcredit,agesqr,latino,other,hhincome_w2,autonomy_std,risk_tolerance_std
ME1225,1,5,1,28.0,0.0,0.0,1.0,16,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,784.0,0.0,1.0,75000.0,-4.686470953641612,-0.2148241151810799
ME1226,0,5,1,26.0,1.0,0.0,0.0,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,0.0,55000.0,-4.686470953641612,6.78517588481892
ME1230,0,5,1,29.0,1.0,0.0,0.0,16,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,841.0,0.0,0.0,30000.0,-4.686470953641612,4.78517588481892
ME1239,0,5,1,48.0,1.0,0.0,0.0,16,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2304.0,0.0,0.0,67000.0,-4.686470953641612,4.78517588481892
ME1254,1,5,1,44.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1936.0,0.0,0.0,10800.0,-4.686470953641612,1.78517588481892
ME1255,1,5,1,40.0,1.0,0.0,0.0,12,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1600.0,0.0,0.0,70000.0,-4.686470953641612,1.78517588481892
ME1262,0,5,1,54.0,0.0,0.0,0.0,18,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.0,1.0,0.0,25000.0,-4.686470953641612,3.78517588481892
ME1267,0,5,1,55.0,1.0,0.0,0.0,14,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3025.0,0.0,0.0,3400.0,-4.686470953641612,2.78517588481892
ME1293,0,5,1,40.0,1.0,0.0,0.0,12,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1600.0,0.0,0.0,25000.0,-4.686470953641612,-1.21482411518108
ME1294,1,5,1,48.0,1.0,0.0,0.0,14,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2304.0,0.0,0.0,20000.0,-4.686470953641612,-0.2148241151810799
ME1295,1,5,1,56.0,1.0,0.0,0.0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3136.0,0.0,0.0,12500.0,-4.686470953641612,3.78517588481892
ME1309,0,5,1,55.0,1.0,0.0,0.0,12,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3025.0,0.0,0.0,10000.0,-4.686470953641612,4.78517588481892
ME1323,1,5,1,37.0,1.0,0.0,0.0,12,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1369.0,0.0,0.0,55000.0,-4.686470953641612,1.78517588481892
ME1332,1,5,1,49.0,1.0,0.0,0.0,14,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2401.0,0.0,0.0,22000.0,-4.686470953641612,3.78517588481892
ME1356,0,5,1,45.0,1.0,0.0,0.0,12,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2025.0,0.0,0.0,42000.0,-4.686470953641612,6.78517588481892
